Country Code,Country,Region
AFG,Afghanistan,West & Central Asia
ALA,Aland Islands,Europe
ALB,Albania,Europe
DZA,Algeria,North Africa
ASM,American Samoa,Oceania
AND,Andorra,Europe
AGO,Angola,Sub-Saharan Africa
AIA,Anguilla,Caribbean Islands
ATA,Antarctica,Antarctic
ATG,Antigua and Barbuda,Caribbean Islands
ARG,Argentina,South America
ARM,Armenia,West & Central Asia
ABW,Aruba,Caribbean Islands
AUS,"Australia [includes the island groups of Ashmore-Cartier, Lord Howe and Macquarie]",Oceania
AUT,Austria,Europe
AZE,Azerbaijan,West & Central Asia
BHS,Bahamas,Caribbean Islands
BHR,Bahrain,West & Central Asia
BGD,Bangladesh,South & South East Asia
BRB,Barbados,Caribbean Islands
BLR,Belarus,North Asia
BEL,Belgium,Europe
BLZ,Belize,Mesoamerica
BEN,Benin,Sub-Saharan Africa
BMU,Bermuda,Caribbean Islands
BTN,Bhutan,South & South East Asia
BOL,"Bolivia, Plurinational State of",South America
BES,"Bonaire, Sint Eustatius and Saba",Caribbean Islands
BIH,Bosnia and Herzegovina,Europe
BWA,Botswana,Sub-Saharan Africa
BVT,Bouvet Island,Antarctic
BRA,Brazil,South America
IOT,British Indian Ocean Territory [includes the Chagos Archipelago],South & South East Asia
BRN,Brunei Darussalam,South & South East Asia
BGR,Bulgaria,Europe
BFA,Burkina Faso,Sub-Saharan Africa
BDI,Burundi,Sub-Saharan Africa
CPV,Cape Verde,Sub-Saharan Africa
KHM,Cambodia,South & South East Asia
CMR,Cameroon,Sub-Saharan Africa
CAN,Canada,North America
CYM,Cayman Islands,Caribbean Islands
CAF,Central African Republic,Sub-Saharan Africa
TCD,Chad,Sub-Saharan Africa
CHL,Chile [includes Easter Island],South America
CHN,China,East Asia
CXR,Christmas Island,Oceania
CCK,Cocos (Keeling) Islands,Oceania
COL,Colombia,South America
COM,Comoros,Sub-Saharan Africa
COD,Congo,Sub-Saharan Africa
ZAR,"Congo, The Democratic Republic of the",Sub-Saharan Africa
COK,Cook Islands,Oceania
CRI,Costa Rica,Mesoamerica
CIV,Cote d'Ivoire,Sub-Saharan Africa
HRV,Croatia,Europe
CUB,Cuba,Caribbean Islands
CUW,Curaao,Caribbean Islands
CYP,Cyprus,West & Central Asia
CZE,Czech Republic,Europe
DNK,Denmark,Europe
DJI,Djibouti,Sub-Saharan Africa
DMA,Dominica,Caribbean Islands
DOM,Dominican Republic,Caribbean Islands
ECU,Ecuador [includes the Galpagos islands],South America
EGY,Egypt,North Africa
SLV,El Salvador,Mesoamerica
GNQ,Equatorial Guinea [includes the islands of AnnobEritrea,Sub-Saharan Africa
ERI,Eritrea,Sub-Saharan Africa
EST,Estonia,Europe
ETH,Ethiopia,Sub-Saharan Africa
FLK,Falkland Islands (Malvinas),South America
FRO,Faroe Islands,Europe
FJI,Fiji,Oceania
FIN,Finland [excludes the land Islands],Europe
FRA,France [includes Clipperton Island in the eastern Pacific Ocean],Europe
GUF,French Guiana,South America
PYF,"French Polynesia [includes the island groups of the Marquesas, Society, Tuamotu and Tubai]",Oceania
ATF,"French Southern Territories [includes the Amsterdam-St Paul, Crozet, Kerguelen and Mozambique Channel island groups]",Antarctic
GAB,Gabon,Sub-Saharan Africa
GMB,Gambia,Sub-Saharan Africa
GEO,Georgia,West & Central Asia
DEU,Germany,Europe
GHA,Ghana,Sub-Saharan Africa
GIB,Gibraltar,Europe
GRC,Greece,Europe
GRL,Greenland,Europe
GRD,Grenada,Caribbean Islands
GLP,Guadeloupe,Caribbean Islands
GUM,Guam,Oceania
GTM,Guatemala,Mesoamerica
GGY,Guernsey,Europe
GIN,Guinea,Sub-Saharan Africa
GNB,Guinea-Bissau,Sub-Saharan Africa
GUY,Guyana,South America
HTI,Haiti,Caribbean Islands
HMD,Heard Island and McDonald Islands,Antarctic
VAT,Holy See (Vatican City State),Europe
HND,Honduras,Mesoamerica
